"date","nform","inflow","key","value"
2017-05-02,"nh4n",0.425,"p1",0.242
2017-05-05,"nh4n",0.435,"p1",0.174
2017-05-08,"nh4n",0.356,"p1",0.183
2017-05-10,"nh4n",0.47,"p1",0.238
2017-05-12,"nh4n",0.484,"p1",0.217
2017-05-15,"nh4n",0.428,"p1",0.259
2017-05-17,"nh4n",0.461,"p1",0.206
2017-05-29,"nh4n",0.389,"p1",0.138
2017-05-31,"nh4n",0.574,"p1",0.207
2017-06-02,"nh4n",0.504,"p1",0.173
2017-06-05,"nh4n",0.379,"p1",0.194
2017-06-07,"nh4n",0.498,"p1",0.18
2017-06-09,"nh4n",0.545,"p1",0.204
2017-06-12,"nh4n",0.536,"p1",0.305
2017-06-14,"nh4n",0.524,"p1",0.257
2017-06-16,"nh4n",0.448,"p1",0.195
2017-06-19,"nh4n",0.37,"p1",0.167
2017-06-21,"nh4n",0.5,"p1",0.168
2017-06-23,"nh4n",0.508,"p1",0.174
2017-06-26,"nh4n",0.379,"p1",0.138
2017-06-28,"nh4n",0.455,"p1",0.164
2017-06-30,"nh4n",0.521,"p1",0.207
2017-07-03,"nh4n",0.432,"p1",0.201
2017-07-05,"nh4n",0.677,"p1",0.3
2017-07-07,"nh4n",0.342,"p1",0.12
2017-07-10,"nh4n",0.297,"p1",0.131
2017-07-12,"nh4n",0.415,"p1",0.139
2017-07-14,"nh4n",0.336,"p1",0.105
2017-07-18,"nh4n",0.569,"p1",0.214
2017-07-21,"nh4n",0.54,"p1",0.209
2017-07-24,"nh4n",0.433,"p1",0.182
2017-07-26,"nh4n",0.624,"p1",0.281
2017-07-28,"nh4n",0.451,"p1",0.199
2017-07-30,"nh4n",0.343,"p1",0.28
2017-08-02,"nh4n",0.503,"p1",0.429
2017-08-07,"nh4n",0.163,"p1",0.234
2017-08-09,"nh4n",0.301,"p1",0.182
2017-08-14,"nh4n",0.214,"p1",0.113
2017-08-16,"nh4n",0.314,"p1",0.228
2017-08-18,"nh4n",0.185,"p1",0.079
2017-08-21,"nh4n",0.331,"p1",0.186
2017-08-23,"nh4n",0.354,"p1",0.155
2017-08-25,"nh4n",0.368,"p1",0.233
2017-08-28,"nh4n",0.539,"p1",0.341
2017-08-30,"nh4n",0.23,"p1",0.102
2017-09-01,"nh4n",0.227,"p1",0.131
2017-09-04,"nh4n",0.378,"p1",0.241
2017-09-06,"nh4n",0.312,"p1",0.186
2016-04-13,"nh4",0.484,"p1",0.079
2016-04-14,"nh4",0.532,"p1",0.261
2016-04-15,"nh4",0.441,"p1",0.121
2016-04-18,"nh4",0.106,"p1",0.098
2016-04-19,"nh4",0.381,"p1",0.107
2016-04-20,"nh4",0.082,"p1",0.063
2016-04-21,"nh4",3.6,"p1",3.3
2016-04-22,"nh4",3.24,"p1",2.92
2016-04-25,"nh4",0.29,"p1",0.119
2016-04-26,"nh4",0.243,"p1",0.067
2016-04-27,"nh4",0.353,"p1",0.08
2016-04-28,"nh4",0.501,"p1",0.141
2016-04-29,"nh4",0.45,"p1",0.099
2016-05-02,"nh4",0.58,"p1",0.151
2016-05-04,"nh4",0.548,"p1",0.061
2016-05-05,"nh4",0.501,"p1",0.049
2016-05-06,"nh4",0.408,"p1",0.074
2016-05-09,"nh4",0.299,"p1",0.075
2016-05-10,"nh4",0.295,"p1",0.056
